raw,rewritten,similarity
"combining the strengths of an advanced mathematical model of human physiology and a thermal manikin is a new paradigm for simulating thermal behaviour of humans. however, the forerunners of such adaptive manikins showed some substantial limitations. this project aimed to determine the opportunities and constraints of the existing thermal manikins when dynamically controlled by a mathematical model of human thermal physiology. four thermal manikins were selected and evaluated for their heat flux measurement uncertainty including lateral heat flows between manikin body parts and the response of each sector to the frequent change of the set-point temperature typical when using a physiological model for control. in general, all evaluated manikins are suitable for coupling with a physiological model with some recommendations for further improvement of manikin dynamic performance. the proposed methodology is useful to improve the performance of the adaptive manikins and help to provide a reliable and versatile tool for the broad research and development domain of clothing, automotive and building engineering.","integrating an advanced mathematical model of human physiology with a thermal manikin represents a novel approach for simulating human thermal behavior. early versions of these adaptive manikins, however, demonstrated some significant shortcomings. this project sought to identify both the opportunities and the constraints of the current thermal manikins when they are dynamically controlled by a mathematical model of human thermal physiology. four thermal manikins were chosen and assessed for uncertainties in heat flux measurements, including lateral heat flows between different body parts and how each segment responds to the frequent changes in set-point temperature typical of a physiological model. overall, the evaluated manikins are generally appropriate for integration with a physiological model, though there are recommendations for further enhancing their dynamic performance. the methodology outlined here can be instrumental in improving adaptive manikin performance and in providing a reliable, versatile tool for extensive research and development in clothing, automotive, and building engineering.",0.98478043
"in order to establish networks of cooperation looking for not to duplicate research and even to make use of existing research in a remote form, it is necessary to identify and classify (around the world) the researchers and laboratories, that are researching in the topic of solar refrigeration by absorption/adsorption. the methodology consists in: i) the technology's classification, ii) technological trajectory identification, iii) a thematic bibliographic review, and iv) patent's analysis. in this way, with the previous determination of keywords, will be identified main authors and their respective institutions. with the same keywords, are determined the licensed patents (in certain span of time). in addition, the analysis of publications, patents, and commercial products give us an opportunity to establish comparisons between prototypes and tests (in several conditions). the larger results implicate the use of actor's network and the remote access to the data and tests, for a collaborative research, overcoming the lack of laboratory resource and accelerating the knowledge acquisition.","to create collaborative networks that avoid redundant research and allow the remote utilization of existing studies, it is essential to identify and categorize researchers and laboratories worldwide working on solar refrigeration through absorption/adsorption. the methodology involves: i) classifying the technology, ii) mapping its technological trajectory, iii) conducting a thematic bibliographic review, and iv) analyzing patents. by using a predetermined set of keywords, key authors and their respective institutions can be identified, and licensed patents (within a given time frame) determined using the same keywords. furthermore, examining publications, patents, and commercial products provides an opportunity to compare various prototypes and test conditions. ultimately, these efforts support the creation of networks among stakeholders and enable remote access to data and experimental results, fostering collaborative research, mitigating the lack of laboratory resources, and accelerating the acquisition of knowledge.",0.93322456
"abstract multiple shallow-sediment cores were obtained from the pilot valley playa, the location of a lake bonneville sub-basin. analyses of stratigraphy, ostracods, mineralogy, chemistry, total inorganic carbon, total organic carbon, and stable isotopes were performed to place these sediments into proper context with respect to the lake bonneville cycle. results showed that the pilot valley playa contains a full sequence of lake bonneville deposits, in addition to sediments deposited before and after the lake bonneville cycle. within the bonneville marl is a sequence of algal-laminated mud. five calibrated 14c ages, ranging from 25.5 to 17.0 cal ka bp, determined from algae filaments in the laminated marl, in addition to its stratigraphic position near the base of the sequence, place it the early transgressive phase of lake bonneville. oolitic sand occurring below the bonneville marl indicates the existence of a shallow (","multiple shallow sediment cores were collected from the pilot valley playa, situated within a lake bonneville sub-basin. to contextualize the sediments in relation to the lake bonneville cycle, analyses were performed on aspects such as stratigraphy, ostracods, mineralogy, chemistry, total inorganic carbon, total organic carbon, and stable isotopes. the findings indicate that the pilot valley playa preserves an entire sequence of lake bonneville deposits, along with sediment layers deposited both before and after the lake bonneville cycle. within the bonneville marl lies a sequence of algal-laminated mud. five calibrated radiocarbon ages, ranging from 25.5 to 17.0 cal ka bp and derived from algal filaments in the laminated marl, combined with its low stratigraphic position, assign it to the early transgressive phase of lake bonneville. additionally, the presence of oolitic sand beneath the bonneville marl suggests the occurrence of a shallow...",0.98110664
"envelope tracking power converter circuitry is configured to receive a supply voltage and simultaneously provide two envelope tracking power supply signals, an envelope tracking power supply signal and an average power tracking power supply signal, or a single envelope tracking power supply signal with improved efficiency. when providing a single envelope tracking power supply signal, an envelope tracking power supply signal is provided to a parallel amplifier in the envelope tracking power converter circuitry to provide multiple levels of envelope tracking which improves efficiency.","the envelope tracking power converter circuitry is designed to accept a supply voltage and can simultaneously output either two envelope tracking power supply signals—one for envelope tracking and another for average power tracking—or a single, more efficient envelope tracking power supply signal. in the case of a single signal, it is provided to a parallel amplifier within the converter circuitry, enabling multiple envelope tracking levels that enhance efficiency.",0.91226417
"the utility model provides a protective structure of electrodynamic balance car belongs to mechanical technical field. it has solved problem how to protect the balance car to avoid the harm. the electrodynamic balance car includes the automobile body and is located two running -boards on the automobile body upper surface, and this protective structure is including setting up the protection pad no. 1 and protection pad no. 2 in every running -board both sides respectively, and equal threaded connection has a card post on the automobile body of every running -board both sides, protection pad no. 1 and protection pad no. 2 all with the card post joint cooperation that corresponds, protection pad no. 1 and protection pad can cover on the top or the lower surface of cladding at the automobile body of automobile body upper surface through magic subsides connection between two. through this protection architecture for this balance car all obtains fine protection when using or not using, prevent that the balance car from receiving unexpected harm, simultaneously, this protective structure easy dismounting, simple structure.","this utility model offers a protective structure for an electrodynamic balance car in the field of mechanical technology. it addresses the issue of safeguarding the balance car from potential damage. the electrodynamic balance car consists of an automobile body with two running boards positioned on its upper surface. the protective structure features two protective pads—protection pad no. 1 and protection pad no. 2—arranged on opposite sides of each running board. on each side of the running boards, a card post is fixedly attached to the automobile body, and both protective pads are designed to connect with these card posts using an equal threaded connection. additionally, the protective pads can cover either the top or the lower surface of the cladding on the automobile body through a magnetic coupling connection. this design provides excellent protection for the balance car, whether it is in use or not, preventing it from sustaining unexpected damage. moreover, the protective structure is simple in design and easy to disassemble.",0.8994429
"in this work we characterize the rf modulation characteristics and the dynamic range of a iii-v-on-silicon dfb laser. the direct modulation of this laser is demonstrated with a 1gbps radio-over-fiber link at a carrier frequency up to 24 ghz using qpsk modulation. 480mbps 64-qam transmission at 3.5 ghz carrier frequency is demonstrated as well. in the 480 mbps experiment both the transmitter and receiver are silicon photonic components, providing a sfdr of about 90 dbhz2/3 for the complete optical link including receiver electronics as well.","in this study, we examine the rf modulation characteristics and dynamic range of a iii-v-on-silicon dfb laser. we demonstrate the laser’s direct modulation through a 1 gbps radio-over-fiber link using qpsk modulation, achieving a carrier frequency of up to 24 ghz. additionally, we present a 480 mbps 64-qam transmission at a 3.5 ghz carrier frequency. for this 480 mbps experiment, both the transmitter and receiver are silicon photonic components, resulting in an sfdr of approximately 90 db·hz²/³ for the entire optical link, including the receiver electronics.",0.9899161
"this study aims to determine the efficiency of water use between cultivars and identify the root system, drought- tolerant upland rice physiology. implemented in plastic house in north aceh, in january 2015 until may 2015. using a split plot design (split-plot) with three replications, and two factors: the first factor is drought stress (c) consisting of 4 levels of field capacity is : c1: 20% (300 ml / day), c2: 40% (600 ml / day), c3: 60% (900 ml / day) and the c4: 80% (1200 ml / day). the second factor is the 10 varieties of upland rice varieties consists of 3 groups (the result of screening with peg 6000), namely (tolerant varieties) consists of inpago 9, inpago 4, inpago 8. (moderate varieties) which consists of inpago 5, situ bangendit, inpago7, towuti, and (sensitive varieties) which consists of inpari 6 jate, inpari 33 and sintanur. materials used are topsoil, manure, phonska + urea compound fertilizer dose (300 kg / ha + urea 200 kg / ha), polybags size 40 cm x 50 cm. the tools used include: soil ph and dm 15 mouisture tester, digital thermometer, chlorophyll meter spad, spectrophotometer, meter, digital scales, label, signage and all the tools that support research. drought stress causes decreased root weight, root crown ratio, proline content of leaves and total leaf chlorophyll, but led to increased root length. results of the study showed avoidance mechanism varieties tolerant to drought stress in different ways varieties inpago 4 through increasing root length, root weight, root crown ratio and the amount of leaf proline. ciapus varieties through an increase in the amount of chlorophyll. moderate varieties inpago 7, situbangendit unidentified able to adapt to the conditions of drought stress on field capacity 20% and 40% on content of proline and root length. susceptible inpari varieties 6 jete and inpari 33 gave the highest content of chlorophyll and proline.","this research aimed to evaluate water use efficiency across different cultivars and to characterize the root systems and drought physiology of upland rice. the experiment was carried out in a greenhouse in north aceh from january to may 2015. a split-plot design with three replications was used, involving two factors: 1. drought stress at four levels of field capacity: • c1: 20% (300 ml/day) • c2: 40% (600 ml/day) • c3: 60% (900 ml/day) • c4: 80% (1200 ml/day) 2. ten upland rice varieties, grouped by their performance in a peg 6000 screening into: • drought-tolerant: inpago 9, inpago 4, inpago 8 • moderately tolerant: inpago 5, situ bangendit, inpago 7, towuti • drought-sensitive: inpari 6 jate, inpari 33, sintanur the study used topsoil, manure, and a combination of phonska and urea fertilizers (applied at 300 kg/ha and 200 kg/ha, respectively) along with polybags measuring 40 cm x 50 cm. tools included a soil ph and moisture tester (dm15), digital thermometer, spad chlorophyll meter, spectrophotometer, measuring tape, digital scales, labels, signage, and various supporting equipment. the results showed that drought stress reduced root weight, the root crown ratio, leaf proline content, and total leaf chlorophyll, while increasing root length. varieties displayed different avoidance mechanisms: the drought-tolerant inpago 4 increased its root length, root weight, root crown ratio, and leaf proline levels; the ciapus variety responded with increased chlorophyll content; and the moderately tolerant varieties inpago 7 and situ bangendit adapted better at 20% and 40% field capacity by enhancing proline content and root length. in contrast, the drought-sensitive varieties inpari 6 jete and inpari 33 exhibited the highest levels of chlorophyll and proline.",0.95508593
"the results of extensive measurements of fracture mechanics parameters of cast iron materials under static, dynamic and cyclic loading at the institute of materials engineering (iwt) at the tu bergakademie freiberg are shown. a special attention for this group of materials must be given to the microstructural influence on the crack resistance behavior and thus the component reliability. in collaboration with the institute of mechanics and fluid dynamics (imfd) of the tu bergakademie it was shown for castings, such as components of wind turbines made of ductile cast iron, railway wheels made of adi or transport casks for spent nuclear fuel assemblies that the fracture mechanical strength analysis including possible casting defects extends the conventional strength analysis.","the document presents extensive measurements of fracture mechanics parameters for cast iron materials under static, dynamic, and cyclic loading, conducted at the institute of materials engineering (iwt) at tu bergakademie freiberg. special attention must be paid to these materials due to the significant influence of their microstructural characteristics on crack resistance behavior and overall component reliability. in collaboration with the institute of mechanics and fluid dynamics (imfd) at tu bergakademie freiberg, it has been demonstrated for various castings—such as wind turbine components made of ductile cast iron, railway wheels made of adi, and transport casks for spent nuclear fuel assemblies—that incorporating potential casting defects into the fracture mechanical strength analysis provides a more comprehensive understanding than conventional strength analysis alone.",0.9862138
"the utility model discloses an electric cabinet of hoist, the electric cabinet includes the box, the inside cavity that is used for installing electrical components that is provided with of box, be provided with a region on the front end wall of box, be provided with the dead slot in the end wall of half part on the left side of box, the front end wall of box and left end wall juncture and first pulley is all installed to the end wall of box and the dead slot of left end wall juncture upper end, the front end wall of box and left end wall juncture and the end wall of box all installs the second pulley with the dead slot lower extreme of left end wall juncture, bobbin and lower bobbin are installed respectively to the dead slot upper end and the lower extreme of the end wall middle part of box, go up and to install driving motor on the box roof directly over the bobbin, driving motor's drive shaft with go up bobbin and lower bobbin fixed connection, install the flexible sealing board in the door region.","the utility model discloses an electric hoist cabinet. the cabinet comprises a box with an interior cavity designed for mounting electrical components. a designated area is provided on the front end wall of the box, and a dead slot is incorporated in the middle portion of the left end wall. at the junction of the front and left end walls, a first pulley is installed at the upper end of the dead slot, while a second pulley is installed at the lower end of that same slot. a bobbin is mounted at the upper part of the middle section of the box’s end wall, with a lower bobbin mounted at the lower part. additionally, a driving motor is installed on the box roof directly above the bobbin, with its drive shaft fixedly connected to both the upper and lower bobbins. a flexible sealing board is also installed in the door area.",0.8795041
"dna-binding protein a (dbpa) has been reported associated with the pathogenesis and development of various cancers. however, no evidence showed the gene expression profiling alternation involved in dbpa knockdown in colorectal cancer (crc) cells. small interference rna (sirna) method was used to knock down dbpa expression in sw620 cells. the changes of gene expression profiles in dbpa knockdown sw620 cells were determined by microarray analysis and western blot. a total of 578 genes expressed differentially (twofold change), 181 genes were up-regulated, and 397 down-regulated in the dbpa knockdown group in comparison with the control group. the discrimination reliability was further verified by principal component analysis and pearson correlation. gene ontology (go) pathway analysis and kyoto encyclopedia of genes and genomes (kegg) pathway analysis showed that the most significantly expressed genes were linked to mapk signaling pathway. furthermore, western blot verified that dbpa knockdown directly inhibited the activations of tak1, p38, and jnk in crc cells. in conclusion, dbpa knockdown in sw620 cells altered the expression of carcinogenesis-associated genes in crc and the involvement of dbpa on crc might through mapk signaling pathway, which might provide valuable evidence to further investigate the correlation between dbpa expression and crc development.","dna-binding protein a (dbpa) has been linked to the pathogenesis and progression of several cancers. however, there has been no evidence showing changes in gene expression profiles resulting from dbpa knockdown in colorectal cancer (crc) cells. in this study, we employed small interfering rna (sirna) to reduce dbpa expression in sw620 cells, and then used microarray analysis alongside western blotting to assess the resulting gene expression changes. our analysis revealed a total of 578 genes with differential expression (defined as a twofold change): 181 genes were upregulated, and 397 were downregulated in the dbpa knockdown group compared with the control group. the reliability of these findings was further supported by principal component analysis and pearson correlation. additionally, gene ontology (go) and kyoto encyclopedia of genes and genomes (kegg) pathway analyses showed that many of the significantly affected genes were involved in the mapk signaling pathway. western blot results further confirmed that the reduced expression of dbpa directly inhibited the activation of tak1, p38, and jnk in crc cells. in summary, knocking down dbpa in sw620 cells led to changes in the expression of genes associated with carcinogenesis, potentially through the mapk signaling pathway, which provides useful insights for further exploring the relationship between dbpa expression and crc development.",0.95240533
"hydrometric folding rod is composed of at least two hollow rod aluminum rectangular profile (1), which follow each other through the connecting pin (2) catered by a first screw (3). the hollow aluminum rod of rectangular profiles (1) have a calibration mark (4) and the numeral marks (5). at the rod of aluminum rectangular profile (1) is attached sliding system heads (6) for retaining the hydrometric propellers (13).","the hydrometric folding rod is made up of at least two hollow aluminum rods with a rectangular profile (1) that connect in sequence via a connecting pin (2) secured by a first screw (3). these hollow rods (1) are marked with both a calibration indicator (4) and numeral labels (5). additionally, sliding system heads (6) are attached to the aluminum rectangular profiles (1) to hold the hydrometric propellers (13).",0.9713756
"selecting a profession suitable to students` expectations implies taking into account multiple factors. despite its usefulness and high impact, there are shortcomings in current university major recommendation models. among these limitations are the lack of flexible models, the dependence on historical information and the inadequate weighting of the factors involved. in this paper, a new college degree recommendation model based on psychological student profiling and the analytical hierarchical process is presented. it includes database construction, student profiling, college degree information filtering and recommendation generation. its implementation made it possible to improve reliability in the recommendation process of college degree. a case study is shown to demonstrate the model applicability.","selecting a profession that aligns with students' expectations requires considering multiple factors. although current models for recommending university majors are both useful and impactful, they exhibit several shortcomings. these include the absence of flexible models, an over-reliance on historical data, and inadequate weighting of various factors. in this paper, we introduce a new college degree recommendation model that integrates psychological student profiling with the analytical hierarchical process. this approach encompasses constructing a database, profiling students, filtering college degree information, and generating recommendations. its implementation has enhanced the reliability of the college degree recommendation process, a point further validated by a case study demonstrating the model's applicability.",0.93565905
